id,loc,type,dest,dist,chain
124,"-6.2298394, 106.7968609",street,125,17,55
125,"-6.2298394, 106.7968609",street,126,17,55
126,"-6.2298394, 106.7968609",street,127,17,55
127,"-6.2298394, 106.7968609",street,128,17,55
128,"-6.2298394, 106.7968609",street,129,17,55
129,"-6.2298394, 106.7968609",street,130,17,55
130,"-6.2298394, 106.7968609",street,131,17,55
131,"-6.2298394, 106.7968609",street,132,17,55
132,"-6.2298394, 106.7968609",street,133,17,55
133,"-6.2298394, 106.7968609",street,134,17,55
134,"-6.2298394, 106.7968609",street,135,17,55
135,"-6.2298394, 106.7968609",street,136,17,55
136,"-6.2298394, 106.7968609",street,137,17,55
137,"-6.2298394, 106.7968609",street,138,17,55
138,"-6.2298394, 106.7968609",street,139,17,55
139,"-6.2298394, 106.7968609",street,140,17,55
140,"-6.2298394, 106.7968609",street,141,17,55
141,"-6.2298394, 106.7968609",street,142,17,55
142,"-6.2298394, 106.7968609",street,143,17,55
143,"-6.2298394, 106.7968609",street,144,17,55
144,"-6.2298394, 106.7968609",street,145,17,55
145,"-6.2298394, 106.7968609",street,146,17,55
146,"-6.2298394, 106.7968609",street,147,17,55
147,"-6.2298394, 106.7968609",street,148,17,55
148,"-6.2298394, 106.7968609",street,149,17,55
149,"-6.2298394, 106.7968609",street,150,17,55
150,"-6.2298394, 106.7968609",street,151,17,55
151,"-6.2298394, 106.7968609",street,152,17,55
152,"-6.2298394, 106.7968609",street,153,17,55
153,"-6.2298394, 106.7968609",street,154,17,55
154,"-6.2298394, 106.7968609",street,155,17,55
155,"-6.2298394, 106.7968609",street,156,17,55
156,"-6.2298394, 106.7968609",street,157,17,55
157,"-6.2298394, 106.7968609",street,158,17,55
158,"-6.2298394, 106.7968609",street,159,17,55
159,"-6.2298394, 106.7968609",street,160,17,55
160,"-6.2298394, 106.7968609",street,161,17,55
161,"-6.2298394, 106.7968609",street,162,17,55
162,"-6.2298394, 106.7968609",street,163,17,55
163,"-6.2298394, 106.7968609",street,164,17,55
164,"-6.2298394, 106.7968609",street,165,17,55
165,"-6.2298394, 106.7968609",street,166,17,55
166,"-6.2298394, 106.7968609",street,167,17,55
167,"-6.2298394, 106.7968609",street,168,17,55
168,"-6.2298394, 106.7968609",street,169,17,55
169,"-6.2298394, 106.7968609",street,170,17,55
170,"-6.2298394, 106.7968609",street,171,17,55
171,"-6.2298394, 106.7968609",street,172,17,55
172,"-6.2298394, 106.7968609",street,173,17,55
173,"-6.2298394, 106.7968609",street,174,17,55
174,"-6.2298394, 106.7968609",street,175,17,55
175,"-6.2298394, 106.7968609",street,176,17,55
176,"-6.2298394, 106.7968609",street,177,17,55
177,"-6.2298394, 106.7968609",street,178,17,55
178,"-6.2298394, 106.7968609",street,179,17,55
179,"-6.2298394, 106.7968609",street,180,17,55
180,"-6.2298394, 106.7968609",street,181,17,55
181,"-6.2298394, 106.7968609",street,182,17,55
182,"-6.2298394, 106.7968609",street,183,17,55
183,"-6.2298394, 106.7968609",street,184,17,55
184,"-6.2298394, 106.7968609",street,185,17,55
185,"-6.2298394, 106.7968609",street,186,17,55
186,"-6.2298394, 106.7968609",street,187,17,55
187,"-6.2298394, 106.7968609",street,188,17,55
188,"-6.2298394, 106.7968609",street,189,17,55
189,"-6.2298394, 106.7968609",street,190,17,55
190,"-6.2298394, 106.7968609",street,191,17,55
191,"-6.2298394, 106.7968609",street,192,17,55
192,"-6.2298394, 106.7968609",street,193,17,55
193,"-6.2298394, 106.7968609",street,194,17,55
194,"-6.2298394, 106.7968609",street,195,17,55
195,"-6.2298394, 106.7968609",street,196,17,55
196,"-6.2298394, 106.7968609",street,197,17,55
197,"-6.2298394, 106.7968609",street,198,17,55
198,"-6.2298394, 106.7968609",street,199,17,55
199,"-6.2298394, 106.7968609",street,200,17,55
200,"-6.2298394, 106.7968609",street,201,17,55
201,"-6.2298394, 106.7968609",street,202,17,55
202,"-6.2298394, 106.7968609",street,203,17,55
203,"-6.2298394, 106.7968609",street,204,17,55
204,"-6.2298394, 106.7968609",street,205,17,55
205,"-6.2298394, 106.7968609",street,202,17,55
206,"-6.2298394, 106.7968609",street,207,17,55
207,"-6.2298394, 106.7968609",street,208,17,55
208,"-6.2298394, 106.7968609",street,209,17,55
209,"-6.2298394, 106.7968609",street,210,17,55
210,"-6.2298394, 106.7968609",street,211,17,55
211,"-6.2298394, 106.7968609",street,212,17,55
212,"-6.2298394, 106.7968609",street,213,17,55
213,"-6.2298394, 106.7968609",street,214,17,55
214,"-6.2298394, 106.7968609",street,215,17,55
215,"-6.2298394, 106.7968609",street,216,17,55
216,"-6.2298394, 106.7968609",street,217,17,55
217,"-6.2298394, 106.7968609",street,218,17,55
218,"-6.2298394, 106.7968609",street,219,17,55
219,"-6.2298394, 106.7968609",street,220,17,55
220,"-6.2298394, 106.7968609",street,221,17,55
221,"-6.2298394, 106.7968609",street,222,17,55
222,"-6.2298394, 106.7968609",street,223,17,55
223,"-6.2298394, 106.7968609",street,224,17,55
224,"-6.2298394, 106.7968609",street,225,17,55
225,"-6.2298394, 106.7968609",street,226,17,55
226,"-6.2298394, 106.7968609",street,227,17,55
227,"-6.2298394, 106.7968609",street,228,17,55
228,"-6.2298394, 106.7968609",street,229,17,55
229,"-6.2298394, 106.7968609",street,230,17,55
230,"-6.2298394, 106.7968609",street,231,17,55
231,"-6.2298394, 106.7968609",street,232,17,55
232,"-6.2298394, 106.7968609",street,233,17,55
233,"-6.2298394, 106.7968609",street,234,17,55
234,"-6.2298394, 106.7968609",street,235,17,55
235,"-6.2298394, 106.7968609",street,236,17,55
236,"-6.2298394, 106.7968609",street,237,17,55
237,"-6.2298394, 106.7968609",street,238,17,55
238,"-6.2298394, 106.7968609",street,239,17,55
239,"-6.2298394, 106.7968609",street,240,17,55
240,"-6.2298394, 106.7968609",street,241,17,55
241,"-6.2298394, 106.7968609",street,242,17,55
242,"-6.2298394, 106.7968609",street,243,17,55
243,"-6.2298394, 106.7968609",street,244,17,55
244,"-6.2298394, 106.7968609",street,245,17,55
245,"-6.2298394, 106.7968609",street,246,17,55
246,"-6.2298394, 106.7968609",street,247,17,55
247,"-6.2298394, 106.7968609",street,248,17,55
248,"-6.2298394, 106.7968609",street,249,17,55
249,"-6.2298394, 106.7968609",street,250,17,55
250,"-6.2298394, 106.7968609",street,250,17,55
251,"-6.2298394, 106.7968609",street,252,17,55
252,"-6.2298394, 106.7968609",street,253,17,55
253,"-6.2298394, 106.7968609",street,254,17,55
254,"-6.2298394, 106.7968609",street,255,17,55
255,"-6.2298394, 106.7968609",street,256,17,55
256,"-6.2298394, 106.7968609",street,257,17,55
257,"-6.2298394, 106.7968609",street,258,17,55
258,"-6.2298394, 106.7968609",street,259,17,55
259,"-6.2298394, 106.7968609",street,260,17,55
260,"-6.2298394, 106.7968609",street,261,17,55
261,"-6.2298394, 106.7968609",street,262,17,55
262,"-6.2298394, 106.7968609",street,263,17,55
263,"-6.2298394, 106.7968609",street,264,17,55
264,"-6.2298394, 106.7968609",street,265,17,55
265,"-6.2298394, 106.7968609",street,266,17,55
266,"-6.2298394, 106.7968609",street,267,17,55
267,"-6.2298394, 106.7968609",street,268,17,55
268,"-6.2298394, 106.7968609",street,269,17,55
269,"-6.2298394, 106.7968609",street,270,17,55
270,"-6.2298394, 106.7968609",street,271,17,55
271,"-6.2298394, 106.7968609",street,272,17,55
272,"-6.2298394, 106.7968609",street,273,17,55
273,"-6.2298394, 106.7968609",street,274,17,55
274,"-6.2298394, 106.7968609",street,275,17,55
275,"-6.2298394, 106.7968609",street,276,17,55
276,"-6.2298394, 106.7968609",street,277,17,55
277,"-6.2298394, 106.7968609",street,278,17,55
278,"-6.2298394, 106.7968609",street,279,17,55
279,"-6.2298394, 106.7968609",street,280,17,55
280,"-6.2298394, 106.7968609",street,281,17,55
281,"-6.2298394, 106.7968609",street,282,17,55
282,"-6.2298394, 106.7968609",street,283,17,55
283,"-6.2298394, 106.7968609",street,284,17,55
284,"-6.2298394, 106.7968609",street,285,17,55
285,"-6.2298394, 106.7968609",street,286,17,55
286,"-6.2298394, 106.7968609",street,287,17,55
287,"-6.2298394, 106.7968609",street,288,17,55
288,"-6.2298394, 106.7968609",street,289,17,55
289,"-6.2298394, 106.7968609",street,290,17,55
290,"-6.2298394, 106.7968609",street,291,17,55
291,"-6.2298394, 106.7968609",street,292,17,55
292,"-6.2298394, 106.7968609",street,293,17,55
293,"-6.2298394, 106.7968609",street,294,17,55
294,"-6.2298394, 106.7968609",street,295,17,55
295,"-6.2298394, 106.7968609",street,296,17,55
296,"-6.2298394, 106.7968609",street,297,17,55
297,"-6.2298394, 106.7968609",street,298,17,55
298,"-6.2298394, 106.7968609",street,299,17,55
299,"-6.2298394, 106.7968609",street,300,17,55
300,"-6.2298394, 106.7968609",street,301,17,55
301,"-6.2298394, 106.7968609",street,302,17,55
302,"-6.2298394, 106.7968609",street,303,17,55
303,"-6.2298394, 106.7968609",street,304,17,55
304,"-6.2298394, 106.7968609",street,305,17,55
305,"-6.2298394, 106.7968609",street,306,17,55
306,"-6.2298394, 106.7968609",street,307,17,55
307,"-6.2298394, 106.7968609",street,308,17,55
308,"-6.2298394, 106.7968609",street,309,17,55
309,"-6.2298394, 106.7968609",street,310,17,55
310,"-6.2298394, 106.7968609",street,311,17,55
311,"-6.2298394, 106.7968609",street,312,17,55
312,"-6.2298394, 106.7968609",street,313,17,55
313,"-6.2298394, 106.7968609",street,314,17,55
314,"-6.2298394, 106.7968609",street,315,17,55
315,"-6.2298394, 106.7968609",street,316,17,55
316,"-6.2298394, 106.7968609",street,317,17,55
317,"-6.2298394, 106.7968609",street,318,17,55
318,"-6.2298394, 106.7968609",street,319,17,55
319,"-6.2298394, 106.7968609",street,320,17,55
320,"-6.2298394, 106.7968609",street,321,17,55
321,"-6.2298394, 106.7968609",street,322,17,55
322,"-6.2298394, 106.7968609",street,323,17,55
323,"-6.2298394, 106.7968609",street,324,17,55
324,"-6.2298394, 106.7968609",street,325,17,55
325,"-6.2298394, 106.7968609",street,326,17,55
326,"-6.2298394, 106.7968609",street,327,17,55
327,"-6.2298394, 106.7968609",street,328,17,55
328,"-6.2298394, 106.7968609",street,329,17,55
329,"-6.2298394, 106.7968609",street,330,17,55
330,"-6.2298394, 106.7968609",street,331,17,55
331,"-6.2298394, 106.7968609",street,332,17,55
332,"-6.2298394, 106.7968609",street,333,17,55
333,"-6.2298394, 106.7968609",street,334,17,55
334,"-6.2298394, 106.7968609",street,335,17,55
335,"-6.2298394, 106.7968609",street,336,17,55
336,"-6.2298394, 106.7968609",street,337,17,55
337,"-6.2298394, 106.7968609",street,338,17,55
338,"-6.2298394, 106.7968609",street,339,17,55
339,"-6.2298394, 106.7968609",street,340,17,55
340,"-6.2298394, 106.7968609",street,341,17,55
341,"-6.2298394, 106.7968609",street,342,17,55
342,"-6.2298394, 106.7968609",street,343,17,55
343,"-6.2298394, 106.7968609",street,344,17,55
344,"-6.2298394, 106.7968609",street,345,17,55
345,"-6.2298394, 106.7968609",street,346,17,55
346,"-6.2298394, 106.7968609",street,347,17,55
347,"-6.2298394, 106.7968609",street,348,17,55
348,"-6.2298394, 106.7968609",street,349,17,55
349,"-6.2298394, 106.7968609",street,350,17,55
350,"-6.2298394, 106.7968609",street,351,17,55
351,"-6.2298394, 106.7968609",street,352,17,55
352,"-6.2298394, 106.7968609",street,353,17,55
353,"-6.2298394, 106.7968609",street,354,17,55
354,"-6.2298394, 106.7968609",street,355,17,55
355,"-6.2298394, 106.7968609",street,356,17,55
356,"-6.2298394, 106.7968609",street,357,17,55
357,"-6.2298394, 106.7968609",street,358,17,55
358,"-6.2298394, 106.7968609",street,359,17,55
359,"-6.2298394, 106.7968609",street,360,17,55
360,"-6.2298394, 106.7968609",street,361,17,55
361,"-6.2298394, 106.7968609",street,362,17,55
362,"-6.2298394, 106.7968609",street,363,17,55
363,"-6.2298394, 106.7968609",street,364,17,55
364,"-6.2298394, 106.7968609",street,365,17,55
365,"-6.2298394, 106.7968609",street,366,17,55
366,"-6.2298394, 106.7968609",street,367,17,55
367,"-6.2298394, 106.7968609",street,368,17,55
368,"-6.2298394, 106.7968609",street,369,17,55
369,"-6.2298394, 106.7968609",street,370,17,55
370,"-6.2298394, 106.7968609",street,371,17,55
371,"-6.2298394, 106.7968609",street,372,17,55
372,"-6.2298394, 106.7968609",street,373,17,55
373,"-6.2298394, 106.7968609",street,374,17,55
374,"-6.2298394, 106.7968609",street,375,17,55
375,"-6.2298394, 106.7968609",street,376,17,55
376,"-6.2298394, 106.7968609",street,377,17,55
377,"-6.2298394, 106.7968609",street,378,17,55
378,"-6.2298394, 106.7968609",street,379,17,55
379,"-6.2298394, 106.7968609",street,380,17,55
380,"-6.2298394, 106.7968609",street,381,17,55
381,"-6.2298394, 106.7968609",street,382,17,55
382,"-6.2298394, 106.7968609",street,383,17,55
383,"-6.2298394, 106.7968609",street,384,17,55
384,"-6.2298394, 106.7968609",street,385,17,55
385,"-6.2298394, 106.7968609",street,386,17,55
386,"-6.2298394, 106.7968609",street,387,17,55
387,"-6.2298394, 106.7968609",street,388,17,55
388,"-6.2298394, 106.7968609",street,389,17,55
389,"-6.2298394, 106.7968609",street,390,17,55
390,"-6.2298394, 106.7968609",street,391,17,55
391,"-6.2298394, 106.7968609",street,392,17,55
392,"-6.2298394, 106.7968609",street,393,17,55
393,"-6.2298394, 106.7968609",street,394,17,55
394,"-6.2298394, 106.7968609",street,395,17,55
395,"-6.2298394, 106.7968609",street,396,17,55
396,"-6.2298394, 106.7968609",street,397,17,55
397,"-6.2298394, 106.7968609",street,398,17,55
398,"-6.2298394, 106.7968609",street,399,17,55
399,"-6.2298394, 106.7968609",street,400,17,55
400,"-6.2298394, 106.7968609",street,401,17,55
401,"-6.2298394, 106.7968609",street,402,17,55
402,"-6.2298394, 106.7968609",street,403,17,55
403,"-6.2298394, 106.7968609",street,404,17,55
404,"-6.2298394, 106.7968609",street,405,17,55
405,"-6.2298394, 106.7968609",street,406,17,55
406,"-6.2298394, 106.7968609",street,407,17,55
407,"-6.2298394, 106.7968609",street,408,17,55
408,"-6.2298394, 106.7968609",street,409,17,55
409,"-6.2298394, 106.7968609",street,410,17,55
410,"-6.2298394, 106.7968609",street,411,17,55
411,"-6.2298394, 106.7968609",street,412,17,55
412,"-6.2298394, 106.7968609",street,413,17,55
413,"-6.2298394, 106.7968609",street,414,17,55
414,"-6.2298394, 106.7968609",street,415,17,55
415,"-6.2298394, 106.7968609",street,416,17,55
416,"-6.2298394, 106.7968609",street,417,17,55
417,"-6.2298394, 106.7968609",street,418,17,55
418,"-6.2298394, 106.7968609",street,419,17,55
419,"-6.2298394, 106.7968609",street,420,17,55
420,"-6.2298394, 106.7968609",street,421,17,55
421,"-6.2298394, 106.7968609",street,422,17,55
422,"-6.2298394, 106.7968609",street,423,17,55
423,"-6.2298394, 106.7968609",street,424,17,55
424,"-6.2298394, 106.7968609",street,425,17,55
425,"-6.2298394, 106.7968609",street,426,17,55
426,"-6.2298394, 106.7968609",street,427,17,55
427,"-6.2298394, 106.7968609",street,428,17,55
428,"-6.2298394, 106.7968609",street,429,17,55
429,"-6.2298394, 106.7968609",street,430,17,55
430,"-6.2298394, 106.7968609",street,431,17,55
431,"-6.2298394, 106.7968609",street,432,17,55
432,"-6.2298394, 106.7968609",street,433,17,55
433,"-6.2298394, 106.7968609",street,434,17,55
434,"-6.2298394, 106.7968609",street,435,17,55
435,"-6.2298394, 106.7968609",street,436,17,55
436,"-6.2298394, 106.7968609",street,437,17,55
437,"-6.2298394, 106.7968609",street,438,17,55
438,"-6.2298394, 106.7968609",street,439,17,55
439,"-6.2298394, 106.7968609",street,440,17,55
440,"-6.2298394, 106.7968609",street,441,17,55
441,"-6.2298394, 106.7968609",street,442,17,55
442,"-6.2298394, 106.7968609",street,443,17,55
443,"-6.2298394, 106.7968609",street,444,17,55
444,"-6.2298394, 106.7968609",street,445,17,55
445,"-6.2298394, 106.7968609",street,446,17,55
446,"-6.2298394, 106.7968609",street,447,17,55
447,"-6.2298394, 106.7968609",street,448,17,55
448,"-6.2298394, 106.7968609",street,449,17,55
449,"-6.2298394, 106.7968609",street,450,17,55
450,"-6.2298394, 106.7968609",street,451,17,55
451,"-6.2298394, 106.7968609",street,452,17,55
452,"-6.2298394, 106.7968609",street,453,17,55
453,"-6.2298394, 106.7968609",street,454,17,55
454,"-6.2298394, 106.7968609",street,455,17,55
455,"-6.2298394, 106.7968609",street,456,17,55
456,"-6.2298394, 106.7968609",street,457,17,55
457,"-6.2298394, 106.7968609",street,458,17,55
458,"-6.2298394, 106.7968609",street,459,17,55
459,"-6.2298394, 106.7968609",street,460,17,55
460,"-6.2298394, 106.7968609",street,461,17,55
461,"-6.2298394, 106.7968609",street,462,17,55
462,"-6.2298394, 106.7968609",street,463,17,55
463,"-6.2298394, 106.7968609",street,464,17,55
464,"-6.2298394, 106.7968609",street,465,17,55
465,"-6.2298394, 106.7968609",street,466,17,55
466,"-6.2298394, 106.7968609",street,467,17,55
467,"-6.2298394, 106.7968609",street,468,17,55
468,"-6.2298394, 106.7968609",street,469,17,55
469,"-6.2298394, 106.7968609",street,470,17,55
470,"-6.2298394, 106.7968609",street,471,17,55
471,"-6.2298394, 106.7968609",street,472,17,55
472,"-6.2298394, 106.7968609",street,473,17,55
473,"-6.2298394, 106.7968609",street,474,17,55
474,"-6.2298394, 106.7968609",street,475,17,55
475,"-6.2298394, 106.7968609",street,476,17,55
476,"-6.2298394, 106.7968609",street,477,17,55
477,"-6.2298394, 106.7968609",street,478,17,55
478,"-6.2298394, 106.7968609",street,479,17,55
479,"-6.2298394, 106.7968609",street,480,17,55
480,"-6.2298394, 106.7968609",street,481,17,55
481,"-6.2298394, 106.7968609",street,482,17,55
482,"-6.2298394, 106.7968609",street,483,17,55
483,"-6.2298394, 106.7968609",street,484,17,55
484,"-6.2298394, 106.7968609",street,485,17,55
485,"-6.2298394, 106.7968609",street,486,17,55
486,"-6.2298394, 106.7968609",street,487,17,55
487,"-6.2298394, 106.7968609",street,488,17,55
488,"-6.2298394, 106.7968609",street,489,17,55
489,"-6.2298394, 106.7968609",street,490,17,55
490,"-6.2298394, 106.7968609",street,491,17,55
491,"-6.2298394, 106.7968609",street,492,17,55
492,"-6.2298394, 106.7968609",street,493,17,55
493,"-6.2298394, 106.7968609",street,494,17,55
494,"-6.2298394, 106.7968609",street,495,17,55
495,"-6.2298394, 106.7968609",street,496,17,55
496,"-6.2298394, 106.7968609",street,497,17,55
497,"-6.2298394, 106.7968609",street,498,17,55
498,"-6.2298394, 106.7968609",street,499,17,55
499,"-6.2298394, 106.7968609",street,500,17,55
500,"-6.2298394, 106.7968609",street,501,17,55
501,"-6.2298394, 106.7968609",street,502,17,55
502,"-6.2298394, 106.7968609",street,503,17,55
503,"-6.2298394, 106.7968609",street,504,17,55
504,"-6.2298394, 106.7968609",street,505,17,55
505,"-6.2298394, 106.7968609",street,506,17,55
